System,3wrobotNI
Controller,Nominal
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,10
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 10, 5]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quadratic
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-2.999999966127391,-2.9999586438798365,1.5699545598065432,1827.3654747872768,6641.059046288343,0.4135613403884277,-0.45440193456785255
0.0011,-2.999999524043658,-2.9995450827792927,1.5695001578719754,1827.1028276576963,6823.769329054113,0.4135613403884277,-0.45440193456785255
0.0111,-2.9999847674804387,-2.995409499260487,1.564956138526297,1824.4722799059075,7006.216557044703,0.4135613403884277,-0.45440193456785255
0.0611,-2.9996291250210385,-2.974734935634,1.5422360417979042,1811.2099379951283,7187.337550844216,0.4135613403884277,-0.45440193456785255
0.1111,-2.9988038866755433,-2.954073787447664,1.5195159450695115,1797.7696917291119,7367.114520017127,0.4135613403884277,-0.45440193456785255
0.16110000000000002,-2.997509478415969,-2.933436719585147,1.4967958483411188,1784.15811962985,7545.530331980111,0.4135613403884277,-0.45440193456785255
0.2111,-2.995746568390736,-2.9128343845003193,1.474075751612726,1770.3818939834825,7722.56852137846,0.4135613403884277,-0.45440193456785255
0.2611,-2.993516066579781,-2.8922774167186662,1.4513556548843334,1756.4477773961894,7898.213299118079,0.4135613403884277,-0.45440193456785255
0.3111,-2.990819124324845,-2.871776427347952,1.4286355581559407,1742.362619303469,8072.4495610484255,0.4135613403884277,-0.45440193456785255
0.3611,-2.9876571337351745,-2.851341998600971,1.405915461427548,1728.1333524345898,8245.262896291884,0.4135613403884277,-0.45440193456785255
0.41109999999999997,-2.9840317269689374,-2.8309846783332167,1.3831953646991553,1713.7669892340505,8416.639595215289,0.4135613403884277,-0.45440193456785255
0.46109999999999995,-2.979944775390739,-2.810714974598281,1.3604752679707626,1699.2706182418926,8586.566657039479,0.4135613403884277,-0.45440193456785255
0.5111,-2.9753983886056568,-2.7905433502238033,1.3377551712423699,1684.6514004347334,8755.031797082953,0.4135613403884277,-0.45440193456785255
0.5611,-2.970394913370306,-2.7704802174107597,1.3150350745139772,1669.9165655294091,8922.023453635893,0.4135613403884277,-0.45440193456785255
0.6111000000000001,-2.964936932381486,-2.750535932358889,1.2923149777855845,1655.0734082511353,9087.530794461007,0.4135613403884277,-0.45440193456785255
0.6611000000000001,-2.9590272629430463,-2.7307207899210217,1.2695948810571918,1640.1292845681105,9251.543722917817,0.4135613403884277,-0.45440193456785255
0.7111000000000002,-2.9526689555116454,-2.711045018289078,1.246874784328799,1625.0916078945097,9414.052883707267,0.4135613403884277,-0.45440193456785255
0.7611000000000002,-2.945865292122167,-2.6915187737144737,1.2241546876004064,1609.9678452638225,9575.049668233649,0.4135613403884277,-0.45440193456785255
0.8111000000000003,-2.938619784693595,-2.6721521352656588,1.2014345908720137,1594.7655134745169,9734.526219581101,0.4135613403884277,-0.45440193456785255
0.8611000000000003,-2.9309361732162316,-2.6529550996255002,1.178714494143621,1579.4921752100117,9892.475437102103,0.4135613403884277,-0.45440193456785255
0.9111000000000004,-2.922818423821184,-2.633937575931186,1.1559943974152282,1564.1554351349678,10048.890980615599,0.4135613403884277,-0.45440193456785255
0.9611000000000004,-2.9142707267331267,-2.615109380659322,1.1332743006868355,1548.7629359699072,10203.767274212589,0.4135613403884277,-0.45440193456785255
1.0111000000000003,-2.905297494107389,-2.596480232558859,1.1105542039584428,1533.3223545461894,10357.099509667207,0.4135613403884277,-0.45440193456785255
1.0611000000000004,-2.8959033577524833,-2.578059747634459,1.0878341072300501,1517.8413978433796,10508.883649451545,0.4135613403884277,-0.45440193456785255
1.1111000000000004,-2.8860931667392595,-2.559857434182904,1.0651140105016574,1502.3277990110557,10659.11642935265,0.4135613403884277,-0.45440193456785255
1.1611000000000005,-2.875871984897905,-2.5418826878850957,1.0423939137732647,1486.7893133771067,10807.795360690361,0.4135613403884277,-0.45440193456785255
1.2111000000000005,-2.8652450882040967,-2.524144786956189,1.019673817044872,1471.233714444583,10954.91873213482,0.4135613403884277,-0.45440193456785255
1.2611000000000006,-2.8542179620556425,-2.506652887356355,0.9969537203164793,1455.668789879164,11100.485611122736,0.4135613403884277,-0.45440193456785255
